"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 13, 2018",Illinois,"East Saint Louis (Cahokia)","500 block of St Thomas Ln",0,1,N/A
"December 13, 2018",Florida,Stuart,"41 SW Osceola St",0,1,N/A
"December 13, 2018",Illinois,Chicago,"2500 block of S Hamlin Ave",0,1,N/A
"December 13, 2018",Alabama,Tuscaloosa,"1500 block of Skyland Blvd",0,1,N/A
"December 13, 2018",Michigan,Jackson,"1000 block of Blair Park Dr",0,2,N/A
"December 12, 2018",California,"Los Angeles","San Fernando Mission Blvd and Gothic Ave",0,1,N/A
"December 12, 2018",Tennessee,Nashville,"14th Ave and Buchanan St",0,1,N/A
"December 12, 2018",Illinois,Chicago,"4200 block of S Albany Ave",0,1,N/A
"December 12, 2018",Texas,Bellaire,"5500 block of Pine St",0,1,N/A
"December 12, 2018",California,Selma,"Mason St and Rose Ave",0,2,N/A
"December 12, 2018",Michigan,Kalamazoo,"500 block of Ada St",0,1,N/A
"December 12, 2018",Michigan,"Battle Creek","Meachem Ave and W Rittenhouse Ave",0,1,N/A
"December 11, 2018",Kentucky,Louisville,"2200 block of Date St",0,1,N/A
"December 11, 2018",Michigan,Jackson,"1000 block of Blair Park Dr",0,2,N/A
"December 11, 2018",Kentucky,Cawood,"51 Nola St",0,2,N/A
"December 10, 2018",Minnesota,Minneapolis,"700 block W Broadway Ave",0,3,N/A
"December 10, 2018","New York",Brooklyn,"365 Sackman St",0,1,N/A
"December 10, 2018",Indiana,Gary,"1400 block of W 17th Ave",0,1,N/A
"December 10, 2018",Pennsylvania,Pittsburgh,"Spring St and Arlington Ave",0,1,N/A
"December 9, 2018",Massachusetts,Haverhill,"Vine St",0,2,N/A
"December 9, 2018",Maryland,Baltimore,"3300 block of Gwynn Falls Pkwy",0,2,N/A
"December 9, 2018",Illinois,Chicago,"300 block of East 47th St",0,1,N/A
"December 9, 2018",Florida,"Orange City",N/A,0,1,N/A
"December 9, 2018",Illinois,Chicago,"6900 block of S Elizabeth St",0,1,N/A
"December 8, 2018",Missouri,"Kansas City","W 47th St and Jefferson St",0,1,N/A
"December 8, 2018",Missouri,"Kansas City","4706 Broadway",0,1,N/A
"December 8, 2018","New Hampshire",Newport,"Oak St",0,2,N/A
"December 8, 2018",Florida,"Opa Locka","NW 135th St and 30th Ave",0,3,N/A
"December 7, 2018","New Mexico","Rio Rancho","23rd Ave",0,1,N/A
"December 7, 2018",Illinois,Chicago,"7400 block of S Colfax Ave",0,1,N/A
"December 7, 2018",Illinois,Chicago,"9300 block of S Drexel Ave",0,1,N/A
"December 7, 2018",Texas,Dallas,"2700 Palo Alto Dr",2,1,N/A
"December 6, 2018",Kentucky,Louisville,"4300 block of Lynnview Dr",0,1,N/A
"December 6, 2018","District of Columbia",Washington,"2900 block of Martin Luther King Jr Ave SE",0,2,N/A
"December 5, 2018",Ohio,Newcomerstown,"Liberty Rd SW",0,1,N/A
"December 5, 2018","New York",Syracuse,"1400 block of N Salina St",0,2,N/A
"December 5, 2018",Florida,Orlando,"1300 block of Hendren Dr",1,1,N/A
"December 5, 2018",Indiana,"East Chicago","3600 block of Superior Ct",0,2,N/A
"December 5, 2018",Illinois,Chicago,"50 block of N Leclaire Ave",0,1,N/A
"December 5, 2018",Illinois,Chicago,"3900 block of W Roosevelt Rd",0,1,N/A
"December 5, 2018",Connecticut,Hartford,"898 Park St",1,1,N/A
"December 5, 2018","New York",Bronx,"2280 Loring Pl",0,3,N/A
"December 4, 2018",Louisiana,Metairie,"N Wilson St and Market St",0,1,N/A
"December 4, 2018",Kansas,Riley,"7500 block of Crooked Creek Rd",0,1,N/A
"December 4, 2018",Texas,"San Antonio","7800 block of Caballo Canyon",0,1,N/A
